#{"t_start": 1691653022.79223, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
35.0,1121,2.637491
675.0,3997,3.381845
195.0,2217,3.748671
65.0,1347,3.975543
190.0,2073,4.321375
80.0,1145,4.514198
60.0,1531,4.769884
165.0,2483,5.177024
180.0,3319,5.725778
180.0,2139,6.08388
225.0,2501,6.518017
135.0,2127,6.913026
30.0,1185,7.113366
665.0,5597,8.017348
110.0,1527,8.284
135.0,1561,8.541707
500.0,2943,9.041686
30.0,1213,9.244853
180.0,1873,9.565894
130.0,1473,9.813685
45.0,1257,10.027543
100.0,1743,10.32146
20.0,1169,10.521018
35.0,1157,10.715168
130.0,1641,10.994695
135.0,2007,11.327077
225.0,2395,11.723579
105.0,1923,12.040133
140.0,2203,12.414323
55.0,1233,12.61851
120.0,2071,12.963288
320.0,3889,13.581743
110.0,1955,13.904455
45.0,1803,14.201995
370.0,2161,14.557306
45.0,1645,14.834601
55.0,1507,15.087396
110.0,2103,15.440416
135.0,2067,15.798419
50.0,1185,15.99332
95.0,1923,16.323242
90.0,1213,16.550091
650.0,4685,17.306252
130.0,2195,17.666126
140.0,2173,18.024487
475.0,2785,18.510407
75.0,1379,18.736455
90.0,1457,18.977372
105.0,1849,19.28223
110.0,1639,19.554484
135.0,2291,27.683703
185.0,2259,28.065447
90.0,1241,28.283303
285.0,3063,28.808966
225.0,2441,29.22594
80.0,1893,29.557518
130.0,2175,29.925906
20.0,1605,30.210205
205.0,2483,30.631598
35.0,1179,30.83394
125.0,1811,31.149267
15.0,1463,31.401567
285.0,3451,31.968756
50.0,2085,32.3179
210.0,2485,32.744393
210.0,3879,33.397003
110.0,2057,33.746852
120.0,2247,34.121115
320.0,3157,34.645373
535.0,4123,35.299251
20.0,1703,35.581537
210.0,2547,36.004185
180.0,2395,36.406624
355.0,2353,36.803967
70.0,1681,37.084208
190.0,2485,37.499462
65.0,1545,37.786287
55.0,1181,37.991686
105.0,1945,38.329209
110.0,2331,38.719033
110.0,1983,39.054171
105.0,1683,39.339533
105.0,1545,39.593311
205.0,2693,40.05128
110.0,2075,40.393581
225.0,4043,41.053635
45.0,1523,41.313322
70.0,1921,41.639335
105.0,1969,41.972183
175.0,2171,42.330031
75.0,1795,42.633903
125.0,2015,42.969308
155.0,2561,43.397269
110.0,1457,43.638517
110.0,2187,44.012121
35.0,1207,44.22085
45.0,1241,44.436675
155.0,1879,50.616825
75.0,1545,50.868733
485.0,2547,51.333382
200.0,2045,51.681841
165.0,2439,52.099403
165.0,2117,52.45199
65.0,1405,52.70155
40.0,1651,52.980597
175.0,2215,53.348427
85.0,2047,53.679427
130.0,1859,53.991343
210.0,2097,54.341925
260.0,2837,54.817747
225.0,3351,55.361934
55.0,1203,55.561626
75.0,1285,55.77731
430.0,3691,56.390086
135.0,2281,56.787871
55.0,1207,56.994545
80.0,1277,57.211282
130.0,1925,57.538433
155.0,1607,57.809281
235.0,2549,58.240616
210.0,2611,58.688886
400.0,4145,59.364286
25.0,1581,59.629658
300.0,3323,60.17171
90.0,1565,60.436188
245.0,3081,60.939225
240.0,2035,61.278769
30.0,1067,61.461812
30.0,1181,61.664539
105.0,1835,61.978437
50.0,1159,62.173427
130.0,1899,62.496485
155.0,1909,62.814304
35.0,1193,63.015674
155.0,1547,63.270846
110.0,1873,63.589622
30.0,1181,63.788605
135.0,2337,64.175848
315.0,2269,64.556735
110.0,2045,64.898082
230.0,2149,65.25196
95.0,1957,65.583614
110.0,1809,65.888386
140.0,1987,66.223327
50.0,1291,66.445094
